"id","name_company","inn_company","mail_company","tel_company","kpp_company","ogrn_company","registration_date_start","registration_date_end","adress_company","adress_index_company","boss_company"
1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТАЛЛ КОМ""","6154140841","metallkom2015@list.ru","79888991991","615401001","1156196060338","11.01.2019","11.01.2022","347909,  ОБЛ РОСТОВСКАЯ61,  Г ТАГАНРОГ,  УЛ СОЦИАЛИСТИЧЕСКАЯ,  ДОМ 152,",347909,"Лавров Александр Александрович"
2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ИНВЕСТТЕХПРОМ""","7703773783","yan-gintaras@yandex.ru","79266544416","771401001","1127746627205","11.01.2019","11.01.2022","125252,  Г МОСКВА77,  УЛ КУУСИНЕНА,  ДОМ 15,  КОРПУС 2,  ЭТАЖ 1 ПОМ II КОМНАТА 18",125252,"ЯНУШАС ГИНТАРАС ПЯТРО"
3,"КАРАЧАЕВО-ЧЕРКЕССКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ИНВАЛИДОВ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ГЛУХИХ""","0917013561","kchrvog@mail.ru","79283957875","091701001","1090900000047","11.01.2019","11.01.2022","369004,  РЕСП КАРАЧАЕВО-ЧЕРКЕССКАЯ09,  Г ЧЕРКЕССК,  УЛ ДЕМИДЕНКО,  157,  В,",369004,"АКПЕРОВА АСИЯТ ИБРАГИМОВНА"
4,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНЫЙ ЦЕНТР ""КРОК ОБРАЗОВАТЕЛЬНАЯ КОМПАНИЯ""","7722310540","info@crocok.ru","74959742274","772201001","1097799033243","11.01.2019","11.01.2022","111033,  Г МОСКВА77,  УЛ ВОЛОЧАЕВСКАЯ,  ДОМОВЛАДЕНИЕ 5,  КОРПУС 1,",111033,"ПОПКОВА ЕЛЕНА ЭДУАРДОВНА"
5,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭСБИ""","5410033739","lotkasov@yandex.ru","73833806502","541001001","1155476027387","11.01.2019","11.01.2022","630129,  ОБЛ НОВОСИБИРСКАЯ54,  Г НОВОСИБИРСК,  УЛ РАССВЕТНАЯ,  ДОМ 12,  КВАРТИРА 9",630129,"ЛОТКАСОВА ОЛЬГА ВЛАДИМИРОВНА"
6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕХОВИК""","6154556600","cexovik007@mail.ru","79281021220","615401001","1086154006180","11.01.2019","11.01.2022","347905,  ОБЛ РОСТОВСКАЯ61,  Г ТАГАНРОГ,  УЛ СОЦИАЛИСТИЧЕСКАЯ,  7,  3,",347905,"БАЙДАК ВИТАЛИЙ ФЕДОРОВИЧ"
7,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТАЛОН ПРОЕКТ""","9731019028","etalonproekt2018@yandex.ru","79646415217","773101001","5187746000657","11.01.2019","11.01.2022","121596, Г. МОСКВА, УЛ. ГОРБУНОВА, Д. 2, СТР. 31, ЭТ. 8 ПОМЕЩ. II КОМ. 12 ОФИС 364",121596,"ЦЫГАНКОВ КОНСТАНТИН АЛЕКСАНДРОВИЧ"
8,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""НАУКА-СТРОИТЕЛЬСТВУ""","7810172762","sdo@nponast.ru","78122429229","780201001","1037821029421","11.01.2019","11.01.2022","194356, Г САНКТ-ПЕТЕРБУРГ, УЛ БЕРЕГОВАЯ (ШУВАЛОВО ТЕР.), ДОМ 26, ЛИТЕРА  А, ПОМЕЩЕНИЕ 16-Н",194356,"ПОДПАЛЬНЫЙ ИГОРЬ СТАНИСЛАВОВИЧ"
9,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКСИОМА""","6317127102","aksioma-smr@mail.ru","79093290101","631701001","1186313067973","11.01.2019","11.01.2022","443013, ОБЛ САМАРСКАЯ, Г САМАРА, УЛ ЧЕРНОРЕЧЕНСКАЯ, ДОМ 50, ЛИТЕР А2,КОМНАТА 32",443013,"БЕСПАЛОВ ВЯЧЕСЛАВ АЛЕКСАНДРОВИЧ"
10,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСПЕЦМОНТАЖ""","1513068670","ooossm15@gmail.com","79188277117","151301001","1171513006928","11.01.2019","11.01.2022","362047, РЕСП СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ, Г ВЛАДИКАВКАЗ, УЛ ЦОКОЛАЕВА, ДОМ 32, КОРПУС 3, КВАРТИРА 87",362047,"БЕКУРОВ ТИМУР АВДАНОВИЧ"
