2021-07-15 14:19:27,990 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:19:30,576 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).complan_site(800) - <ошибка> 'comfex'
2021-07-15 14:19:30,577 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:19:48,290 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:19:55,813 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:19:56,570 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0816500000621007929, list index out of range
2021-07-15 14:20:11,324 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:20:15,618 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(309) - <сайт не отвечает> <Response [404]>
2021-07-15 14:20:15,632 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(344) - <ошибка> list index out of range
2021-07-15 14:20:15,632 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:20:32,919 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:20:38,265 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:21:09,720 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:21:20,650 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(259) - <сайт не отвечает> <Response [404]>
2021-07-15 14:21:20,667 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(294) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:21:20,667 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:21:37,821 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:21:43,030 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:21:43,933 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0816500000621007929, list index out of range
2021-07-15 14:21:58,945 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
